#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Streptococcus sp. CNU G2","Bacteria;Terrabacteria group;Firmicutes","CNU G2","SAMN13545685","PRJNA595076","GCA_011387195.1","Complete",2.04695,37.6423,"chromosome:NZ_CP046919.1/CP046919.1; plasmid p_CNU_G2:NZ_CP046920.1/CP046920.1",,2,1926,"2020-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/387/195/GCA_011387195.1_ASM1138719v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/387/195/GCF_011387195.1_ASM1138719v1"
"Streptococcus sp. KS 6","Bacteria;Terrabacteria group;Firmicutes","KS 6","SAMN12340926","PRJNA556118","GCA_014844995.1","Complete",1.95102,39,"chromosome:NZ_CP041968.1/CP041968.1",,1,1726,"2020-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/844/995/GCA_014844995.1_ASM1484499v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/995/GCF_014844995.1_ASM1484499v1"
"Streptococcus sp. 116-D4","Bacteria;Terrabacteria group;Firmicutes","116-D4","SAMD00180331","PRJDB8589","GCA_009731465.1","Complete",1.94376,40.2,"chromosome:NZ_AP021887.1/AP021887.1",,1,1800,"2019-11-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/731/465/GCA_009731465.1_ASM973146v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/731/465/GCF_009731465.1_ASM973146v1"
"Streptococcus sp. NPS 308","Bacteria;Terrabacteria group;Firmicutes","NPS 308","SAMD00061134","PRJDB5166","GCA_002355895.1","Complete",1.92473,41.1,"chromosome:NZ_AP017652.1/AP017652.1",,1,1783,"2016-10-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/895/GCA_002355895.1_ASM235589v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/895/GCF_002355895.1_ASM235589v1"
"Streptococcus sp. CNU 77-61","Bacteria;Terrabacteria group;Firmicutes","CNU 77-61","SAMN13530304","PRJNA594459","GCA_009792335.1","Complete",1.91783,37.8,"chromosome:NZ_CP046875.1/CP046875.1",,1,1781,"2019-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/792/335/GCA_009792335.1_ASM979233v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/792/335/GCF_009792335.1_ASM979233v1"
"Streptococcus sp. 1643","Bacteria;Terrabacteria group;Firmicutes","1643","SAMN06040852","PRJNA542100","GCA_006228325.1","Complete",1.89895,41.2,"chromosome:NZ_CP040231.1/CP040231.1",,1,1797,"2019-06-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/228/325/GCA_006228325.1_ASM622832v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/228/325/GCF_006228325.1_ASM622832v1"
"Streptococcus sp. CNU G3","Bacteria;Terrabacteria group;Firmicutes","CNU G3","SAMN13518400","PRJNA594430","GCA_009755785.1","Complete",1.90583,37.717,"chromosome:NZ_CP046624.1/CP046624.1; plasmid p1_CUN_G3:NZ_CP046625.1/CP046625.1",,2,1766,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/755/785/GCA_009755785.1_ASM975578v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/755/785/GCF_009755785.1_ASM975578v1"
"Streptococcus sp. oral taxon 061","Bacteria;Terrabacteria group;Firmicutes","F0704","SAMN15358107","PRJNA282954","GCA_013394695.1","Complete",1.76573,39.5,"chromosome:NZ_CP058258.1/CP058258.1",,1,1646,"2020-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/394/695/GCA_013394695.1_ASM1339469v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/394/695/GCF_013394695.1_ASM1339469v1"
"Streptococcus sp. NSJ-72","Bacteria;Terrabacteria group;Firmicutes","NSJ-72","SAMN15806945","PRJNA656402","GCA_014334035.1"," Chromosome",2.0144,38,"chromosome:NZ_CP060489.1/CP060489.1",,1,1827,"2020-08-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/334/035/GCA_014334035.1_ASM1433403v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/035/GCF_014334035.1_ASM1433403v1"
"Streptococcus sp. oral taxon 064","Bacteria;Terrabacteria group;Firmicutes","W10853","SAMN03897726","PRJNA282954","GCA_001683375.1"," Chromosome",2.01316,41.0991,"chromosome:NZ_CP016207.1/CP016207.1; plasmid unnamed1:NZ_CP016208.1/CP016208.1; plasmid unnamed2:NZ_CP016209.1/CP016209.1",,3,1848,"2016-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/375/GCA_001683375.1_ASM168337v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/375/GCF_001683375.1_ASM168337v1"
"Streptococcus sp. HSISS1","Bacteria;Terrabacteria group;Firmicutes","HSISS1","SAMN02471216","PRJNA196124","GCA_000448645.1"," Chromosome",2.12814,40.2013,"chromosome:NZ_CM002132.1/CM002132.1","ASKB01",1,3666,"2013-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/645/GCA_000448645.1_HSISS1_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/448/645/GCF_000448645.1_HSISS1_1.0"
"Streptococcus sp. HSISS3","Bacteria;Terrabacteria group;Firmicutes","HSISS3","SAMN02471218","PRJNA196126","GCA_000448605.1"," Chromosome",2.39986,39.4526,"chromosome:NZ_CM002130.1/CM002130.1","ASKH01",1,4197,"2013-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/605/GCA_000448605.1_HSISS3_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/448/605/GCF_000448605.1_HSISS3_1.0"
"Streptococcus sp. HSISM1","Bacteria;Terrabacteria group;Firmicutes","HSISM1","SAMN02471220","PRJNA196120","GCA_000448565.1"," Chromosome",2.33459,41.6051,"chromosome:NZ_CM002128.1/CM002128.1","ASKI01",1,4069,"2013-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/565/GCA_000448565.1_HSISM1_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/448/565/GCF_000448565.1_HSISM1_1.0"
"Streptococcus sp. HSISS2","Bacteria;Terrabacteria group;Firmicutes","HSISS2","SAMN02471217","PRJNA196125","GCA_000448665.1"," Chromosome",2.36091,40.276,"chromosome:NZ_CM002133.1/CM002133.1","ASKC01",1,3830,"2013-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/665/GCA_000448665.1_HSISS2_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/448/665/GCF_000448665.1_HSISS2_1.0"
"Streptococcus sp. oral taxon 071 str. 73H25AP","Bacteria;Terrabacteria group;Firmicutes","73H25AP","SAMN00260141","PRJNA50521","GCA_000146755.1","Scaffold",1.97652,41,,"AEEP01",7,1827,"2010-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/755/GCA_000146755.1_ASM14675v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/755/GCF_000146755.1_ASM14675v1"
"Streptococcus sp. 121","Bacteria;Terrabacteria group;Firmicutes","NLN121","SAMN17150647","PRJNA685935","GCA_016458205.1","Scaffold",2.01191,42.5,,"JAEMED01",88,1859,"2021-01-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/458/205/GCA_016458205.1_ASM1645820v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/458/205/GCF_016458205.1_ASM1645820v1"
"Streptococcus sp. HPH0090","Bacteria;Terrabacteria group;Firmicutes","HPH0090","SAMN02596978","PRJNA169485","GCA_000411475.1","Scaffold",1.76511,39.6,,"ATCD01",4,1622,"2013-06-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/411/475/GCA_000411475.1_Stre_sp_HPH0090_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/475/GCF_000411475.1_Stre_sp_HPH0090_V1"
"Streptococcus sp. 5905","Bacteria;Terrabacteria group;Firmicutes","5905","SAMN11665912","PRJNA556140","GCA_013276505.1","Scaffold",1.82286,41.4,,"VMLC01",13,1727,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/505/GCA_013276505.1_ASM1327650v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/505/GCF_013276505.1_ASM1327650v1"
"Streptococcus sp. CCUG 71758","Bacteria;Terrabacteria group;Firmicutes","CCUG 71758","SAMN10587707","PRJNA302716","GCA_011714815.1","Scaffold",1.91281,41.2,,"RXXO01",12,1762,"2020-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/714/815/GCA_011714815.1_ASM1171481v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/714/815/GCF_011714815.1_ASM1171481v1"
"Streptococcus sp. AM28-20","Bacteria;Terrabacteria group;Firmicutes","AM28-20","SAMN09736372","PRJNA482748","GCA_003603595.1","Scaffold",2.03249,42,,"QTNK01",6,1879,"2018-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/595/GCA_003603595.1_ASM360359v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/595/GCF_003603595.1_ASM360359v1"
"Streptococcus sp. AM43-2AT","Bacteria;Terrabacteria group;Firmicutes","AM43-2AT","SAMN09736564","PRJNA482748","GCA_003603405.1","Scaffold",2.06496,41.9,,"QTND01",11,1904,"2018-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/405/GCA_003603405.1_ASM360340v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/405/GCF_003603405.1_ASM360340v1"
"Streptococcus sp. 1001283B150225_161107_H12","Bacteria;Terrabacteria group;Firmicutes","1001283B150225_161107_H12","SAMN15532844","PRJNA637878","GCA_015552665.1","Scaffold",2.09127,41.9,,"JADNFC01",14,1908,"2020-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/552/665/GCA_015552665.1_ASM1555266v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/552/665/GCF_015552665.1_ASM1555266v1"
"Streptococcus sp. F0442","Bacteria;Terrabacteria group;Firmicutes","F0442","SAMN02463946","PRJNA64901","GCA_000314795.2","Scaffold",2.23125,41.8,,"AGZZ01",3,2092,"2012-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/795/GCA_000314795.2_Strept_sp_F0442_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/795/GCF_000314795.2_Strept_sp_F0442_V1"
"Streptococcus sp. F0441","Bacteria;Terrabacteria group;Firmicutes","F0441","SAMN02463945","PRJNA64899","GCA_000314775.2","Scaffold",2.00065,41.2,,"AGZY01",1,1854,"2012-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/775/GCA_000314775.2_Strept_sp_F0441_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/775/GCF_000314775.2_Strept_sp_F0441_V1"
"Streptococcus sp. Marseille-P644","Bacteria;Terrabacteria group;Firmicutes","Marseille-P644","SAMEA5743003","PRJEB29558","GCA_902460345.1","Scaffold",2.07592,42.4,,"CABPTP01",15,1936,"2019-08-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/460/345/GCA_902460345.1_P644","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/460/345/GCF_902460345.1_P644"
"Streptococcus sp. 99-1-2017","Bacteria;Terrabacteria group;Firmicutes","99-1-2017","SAMN13483526","PRJNA591425","GCA_011421425.1","Scaffold",2.0238,37.6,,"WPCW01",9,1814,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/421/425/GCA_011421425.1_ASM1142142v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/421/425/GCF_011421425.1_ASM1142142v1"
"Streptococcus sp. NLAE-zl-C503","Bacteria;Terrabacteria group;Firmicutes","NLAE-zl-C503","SAMN05216494","PRJEB16302","GCA_900104285.1","Scaffold",1.93806,40.9,,"FNJT01",19,1797,"2016-10-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/285/GCA_900104285.1_IMG-taxon_2654588205_annotated_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/285/GCF_900104285.1_IMG-taxon_2654588205_annotated_assembly"
"Streptococcus sp. M143","Bacteria;Terrabacteria group;Firmicutes","M143","SAMN02463755","PRJNA38755","GCA_000162495.1","Scaffold",1.88098,41.3,,"ACRK01",13,1729,"2009-12-04T15:48:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/495/GCA_000162495.1_ASM16249v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/495/GCF_000162495.1_ASM16249v1"
"Streptococcus sp. 2_1_36FAA","Bacteria;Terrabacteria group;Firmicutes","2_1_36FAA","SAMN02463724","PRJNA37947","GCA_000161955.2","Scaffold",2.23141,40.5,,"ACOI02",5,2086,"2009-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/955/GCA_000161955.2_Strept_sp_2_1_36FAA_V2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/955/GCF_000161955.2_Strept_sp_2_1_36FAA_V2"
"Streptococcus sp. 1453","Bacteria;Terrabacteria group;Firmicutes","1453","SAMN11665889","PRJNA556140","GCA_013276955.1","Scaffold",2.13889,40,,"VMLZ01",36,1874,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/955/GCA_013276955.1_ASM1327695v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/955/GCF_013276955.1_ASM1327695v1"
"Streptococcus sp. 'caviae'","Bacteria;Terrabacteria group;Firmicutes","Cavy grass 6","SAMN05969983","PRJNA352333","GCA_001937065.1","Scaffold",2.10861,42.3,,"MOWR01",29,1958,"2017-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/937/065/GCA_001937065.1_ASM193706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/937/065/GCF_001937065.1_ASM193706v1"
"Streptococcus sp. IMAU 99125","Bacteria;Terrabacteria group;Firmicutes","IMAU 99125","SAMN20086817","PRJNA744280","GCA_019448275.1","Scaffold",2.02714,40.1,,"JAHXBZ01",75,1816,"2021-08-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/448/275/GCA_019448275.1_ASM1944827v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/448/275/GCF_019448275.1_ASM1944827v1"
"Streptococcus sp. IMAU 99674","Bacteria;Terrabacteria group;Firmicutes","IMAU 99674","SAMN20518879","PRJNA751407","GCA_019448285.1","Scaffold",2.02714,40.1,,"JAIBNW01",75,1816,"2021-08-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/448/285/GCA_019448285.1_ASM1944828v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/448/285/GCF_019448285.1_ASM1944828v1"
"Streptococcus sp. 2018162","Bacteria;Terrabacteria group;Firmicutes","2018162","SAMN20800772","PRJNA754713","GCA_019754175.1","Scaffold",1.99639,41.4,,"JAIJZP01",14,1851,"2021-08-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/754/175/GCA_019754175.1_ASM1975417v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/754/175/GCF_019754175.1_ASM1975417v1"
"Streptococcus sp. 449_SSPC","Bacteria;Terrabacteria group;Firmicutes","449_SSPC","SAMN03197641","PRJNA267549","GCA_001073005.1","Scaffold",2.09575,40.1,,"JVGR01",31,1856,"2015-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/005/GCA_001073005.1_ASM107300v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/005/GCF_001073005.1_ASM107300v1"
"Streptococcus sp. sy018","Bacteria;Terrabacteria group;Firmicutes","sy018","SAMN12393118","PRJNA557276","GCA_007859185.1","Scaffold",1.09451,38.3,,"VOHN01",6,1051,"2019-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/185/GCA_007859185.1_ASM785918v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/859/185/GCF_007859185.1_ASM785918v1"
"Streptococcus sp. sy010","Bacteria;Terrabacteria group;Firmicutes","sy010","SAMN12393117","PRJNA557276","GCA_007859175.1","Scaffold",1.11945,38.4,,"VOHO01",6,1119,"2019-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/175/GCA_007859175.1_ASM785917v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/859/175/GCF_007859175.1_ASM785917v1"
"Streptococcus sp. DD12","Bacteria;Terrabacteria group;Firmicutes","DD12","SAMN04324618","PRJNA304333","GCA_001578885.1","Scaffold",1.67681,45.2,,"LQRG01",11,1533,"2016-03-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/885/GCA_001578885.1_ASM157888v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/885/GCF_001578885.1_ASM157888v1"
"Streptococcus sp. 2342","Bacteria;Terrabacteria group;Firmicutes","2342","SAMN11665897","PRJNA556140","GCA_013276795.1","Scaffold",1.98623,40.1,,"VMLR01",23,1748,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/795/GCA_013276795.1_ASM1327679v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/795/GCF_013276795.1_ASM1327679v1"
"Streptococcus sp. sy004","Bacteria;Terrabacteria group;Firmicutes","sy004","SAMN12393116","PRJNA557276","GCA_007859205.1","Scaffold",1.21564,38.6,,"VOHP01",10,1195,"2019-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/205/GCA_007859205.1_ASM785920v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/859/205/GCF_007859205.1_ASM785920v1"
"Streptococcus sp. 5346","Bacteria;Terrabacteria group;Firmicutes","5346","SAMN11665864","PRJNA556140","GCA_013277455.1","Scaffold",2.02926,39.8,,"VMMY01",28,1885,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/455/GCA_013277455.1_ASM1327745v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/455/GCF_013277455.1_ASM1327745v1"
"Streptococcus sp. 596553","Bacteria;Terrabacteria group;Firmicutes","596553","SAMEA4665895","PRJEB26772","GCA_900411395.1","Scaffold",2.21768,40,,"OXCQ01",51,2098,"2018-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/411/395/GCA_900411395.1_596553","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/411/395/GCF_900411395.1_596553"
"Streptococcus sp. 4886","Bacteria;Terrabacteria group;Firmicutes","4886","SAMN11665911","PRJNA556140","GCA_013276485.1","Scaffold",2.24516,39.8,,"VMLD01",48,2046,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/485/GCA_013276485.1_ASM1327648v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/485/GCF_013276485.1_ASM1327648v1"
"Streptococcus sp. HMSC10A01","Bacteria;Terrabacteria group;Firmicutes","HMSC10A01","SAMN03287006","PRJNA269845","GCA_001807785.1","Scaffold",2.17049,40.5,,"LTZV01",24,2004,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/807/785/GCA_001807785.1_ASM180778v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/807/785/GCF_001807785.1_ASM180778v1"
