#Datasets	ELR003.A0101.unmapped	ELR004.A0101.unmapped	ELR006.A0101.unmapped	ELR008.A0101.unmapped	ELR010.A0101.unmapped	IVE002.B0101.unmapped	IVE003.A0101.unmapped	IVE005.A0101.unmapped	IVE005.B0101.unmapped	IVE007.B0101.unmapped	LIB007.A0125.unmapped	LIB007.A0130.unmapped	LIB007.A0131.unmapped	EXB015.A3001.unmapped	EXB015.A3301.unmapped	EXB015.A3401.unmapped
Barnesiella intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella viscericola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacter fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dysgonomonas gadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteiniphilum saccharofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum intestinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas virosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas sp. Marseille-P2440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas sp. Marseille-P4593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter laneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibacter propionicigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fermentimonas caenicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petrimonas mucosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas cangingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas catoniae	676	3717	0	22153	0	9397	1830	8719	6909	2229	0	0	0	0	0	0
Porphyromonas circumdentaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas crevioricanis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas gingivalis	2642	5675	43223	164770	524	8477	7545	3769	2459	22467	0	0	0	0	71	5
Porphyromonas gulae	0	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas levii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas loveana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas macacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. HMSC065F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. HMSC077F02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. KLE 1280	0	301	0	0	0	6507	0	1426	2676	0	0	0	0	0	0	0
Porphyromonas sp. oral taxon 278	746	1878	2573	0	0	2543	2138	3267	2986	915	0	0	0	0	0	0
Porphyromonadaceae bacterium FC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonadaceae bacterium KH3R12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella rava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella tannerae	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	6
Prevotella sp. oral taxon 473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metaprevotella massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella clara	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella xylaniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Hallella] seregens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella aff. ruminicola Tc2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella albensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella baroniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella bergensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella bryantii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella buccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella colorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella conceptionensis	347	382	0	730	0	1697	1383	1315	0	1617	0	0	0	0	0	4
Prevotella copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella corporis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella dentalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella denticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella disiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella enoeca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella histicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella ihumii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella intermedia	1911	2411	2393	1821	0	7430	4473	3370	2174	3028	0	0	0	0	0	101
Prevotella jejuni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella lascolaii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella loescheii	2900	9468	3146	7303	0	11021	9111	8503	11300	6748	0	0	0	0	0	55
Prevotella maculosa	0	0	1842	0	0	0	513	583	0	1127	0	0	0	0	0	0
Prevotella marshii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella micans	0	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0
Prevotella multiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella multisaccharivorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella nanceiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella nigrescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella oulorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella pallens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella paludivivens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella ruminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella saccharolytica	1130	1882	2923	3333	0	8166	2708	5975	3930	3686	0	0	0	0	0	11
Prevotella salivae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella scopos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella shahii	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Prevotella stercorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Prevotella veroralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. AGR2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. BP1-148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. C561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. DNF00663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. F0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. HJM029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. HMSC069G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. HMSC073D09	345	424	0	710	0	1831	1430	1383	0	1629	0	0	0	0	0	2
Prevotella sp. HMSC077E09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. kh1p2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. KH2C16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. lc2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. MA2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. Marseille-P4119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. ne3005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. oral taxon 299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. oral taxon 317	498	516	850	912	0	2422	1957	1880	946	2062	0	0	0	0	0	4
Prevotella sp. oral taxon 472	2849	9017	2935	6964	0	10203	8437	7790	10422	6489	0	0	0	0	0	30
Prevotella sp. P6B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. P6B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. tf2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellamassilia timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae bacterium HUN156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae bacterium KH2P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae bacterium Marseille-P2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae bacterium MN60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes indistinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes obesi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes sp. AL-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes sp. CHKCI003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes sp. Marseille-P2431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes sp. Marseille-P5061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tidjanibacter massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides bouchesdurhonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Parabacteroides chartae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0
Parabacteroides distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides sp. 20_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides sp. D13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides sp. D26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides sp. SN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella forsythia	33481	27383	189131	106378	2535	62752	24882	8970	11221	168816	0	0	0	0	3408	111
Tannerella sp. 6_1_58FAA_CT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella sp. oral taxon HOT-286	6523	5582	7872	17457	0	39195	8046	14564	6598	12462	0	0	0	0	0	96
Phocaeicola abscessus	46540	7770	31257	65349	616	1955	2711	2013	0	1800	0	0	0	0	0	0
Bacteroidales bacterium KA00344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales bacterium KHT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales bacterium WCE2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales bacterium WCE2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkaliflexus imshenetskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asinibacterium sp. OR43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asinibacterium sp. OR53	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
Chitinophaga arvensicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga barathri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga eiseniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga filiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga niabensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga rupis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga sp. CF118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga sp. MD30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga sp. YR573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnuella takakiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Filimonas lacunae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrotalea sandarakina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niastella koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niastella yeongjuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium salmoneum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium sp. C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Segetibacter koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophagaceae bacterium IBVUCB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcicella aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	63
Cytophaga hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866	73
Dyadobacter beijingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter jiangsuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter sp. SG02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emticicia sp. MM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flectobacillus major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Larkinella arboricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ohtaekwangia koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudarcicella hirudinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella zeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphonobacter aquaeclarae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma panaciterrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporocytophaga myxococcoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter gelipurpurascens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter sp. PAMC 26554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter sp. PAMC 26628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pontibacter korlensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chryseolinea serpens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fluviicola taffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequorivita capsosiphonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequorivita viscosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algoriella xinjiangensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergeyella zoohelcum	0	328	0	0	0	1651	0	604	1992	0	0	0	0	0	0	0
Capnocytophaga canimorsus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga cynodegmi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga gingivalis	2303	18068	2717	4609	0	58248	7384	11547	33920	2640	0	0	0	0	0	4
Capnocytophaga granulosa	2003	16517	1568	21458	0	74585	5208	26981	25305	11166	0	0	0	0	0	13
Capnocytophaga haemolytica	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga leadbetteri	4070	5865	2305	2542	0	14250	1242	12045	42832	2652	0	0	0	0	0	0
Capnocytophaga ochracea	611	3062	894	2605	0	6772	2930	1655	2794	3563	0	0	0	0	0	5
Capnocytophaga sputigena	3160	25706	1939	6830	0	85671	11853	13996	36174	6968	0	0	0	0	0	6
Capnocytophaga sp. ChDC OS43	414	2988	0	1682	0	11688	1231	1944	3731	1456	0	0	0	0	0	0
Capnocytophaga sp. H2931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga sp. H4358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga sp. oral taxon 323	0	777	0	736	0	1527	560	0	0	679	0	0	0	0	0	0
