# Pathway	CMB001.A0101.unmapped_Abundance	CMB002.A0101.unmapped_Abundance	CMB003.A0101.unmapped_Abundance	CMB004.A0101.unmapped_Abundance	CMB005.A0101.unmapped_Abundance	CMB006.A0101.unmapped_Abundance	CMB007.A0101.unmapped_Abundance	CMB008.A0101.unmapped_Abundance	EXB034.A2701.unmapped_Abundance	EXB059.A2101.unmapped_Abundance	EXB059.A2201.unmapped_Abundance	EXB059.A2301.unmapped_Abundance	EXB059.A2401.unmapped_Abundance	EXB059.A2501.unmapped_Abundance	LIB058.A0102.unmapped_Abundance	LIB058.A0103.unmapped_Abundance	LIB058.A0104.unmapped_Abundance	LIB058.A0105.unmapped_Abundance	LIB058.A0106.unmapped_Abundance	LIB058.A0107.unmapped_Abundance	MID022.A0101.unmapped_Abundance	MID023.A0101.unmapped_Abundance	MID024.A0101.unmapped_Abundance	MID025.A0101.unmapped_Abundance	MID026.A0101.unmapped_Abundance	MID027.A0101.unmapped_Abundance	MID028.A0101.unmapped_Abundance	MID029.A0101.unmapped_Abundance	MID030.A0101.unmapped_Abundance	MID031.A0101.unmapped_Abundance	MID032.A0101.unmapped_Abundance	MID033.A0101.unmapped_Abundance	MID034.A0101.unmapped_Abundance	MID035.A0101.unmapped_Abundance	MID036.A0101.unmapped_Abundance	MID037.A0101.unmapped_Abundance	MID038.A0101.unmapped_Abundance	MID039.A0101.unmapped_Abundance	MID040.A0101.unmapped_Abundance	MID041.A0101.unmapped_Abundance	MID042.A0101.unmapped_Abundance	MID043.A0101.unmapped_Abundance	MID044.A0101.unmapped_Abundance	MID045.A0101.unmapped_Abundance	MID046.A0101.unmapped_Abundance	MID047.A0101.unmapped_Abundance	MID048.A0101.unmapped_Abundance	MID049.A0101.unmapped_Abundance	MID050.A0101.unmapped_Abundance	MID051.A0101.unmapped_Abundance	MID052.A0101.unmapped_Abundance	MID053.A0101.unmapped_Abundance	MID054.A0101.unmapped_Abundance	MID055.A0101.unmapped_Abundance	MID056.A0101.unmapped_Abundance	MID057.A0101.unmapped_Abundance	MID058.A0101.unmapped_Abundance	MID059.A0101.unmapped_Abundance	MID060.A0101.unmapped_Abundance	MID061.A0101.unmapped_Abundance	MID062.A0101.unmapped_Abundance	MID063.A0101.unmapped_Abundance	MID064.A0101.unmapped_Abundance	MID065.A0101.unmapped_Abundance	MID066.A0101.unmapped_Abundance	MID067.A0101.unmapped_Abundance	MID068.A0101.unmapped_Abundance	MID068.B0101.unmapped_Abundance	MID070.A0101.unmapped_Abundance	MID071.A0101.unmapped_Abundance	MID072.A0101.unmapped_Abundance	MID073.A0101.unmapped_Abundance	MID074.A0101.unmapped_Abundance	MID075.A0101.unmapped_Abundance	MID076.A0101.unmapped_Abundance	MID077.A0101.unmapped_Abundance	MID078.A0101.unmapped_Abundance	MID079.A0101.unmapped_Abundance	MID080.A0101.unmapped_Abundance	MID081.A0101.unmapped_Abundance	MID082.A0101.unmapped_Abundance	MID083.A0101.unmapped_Abundance	MID084.A0101.unmapped_Abundance	MID085.A0101.unmapped_Abundance	MID086.A0101.unmapped_Abundance	MID087.A0101.unmapped_Abundance	MID088.A0101.unmapped_Abundance	MID089.A0101.unmapped_Abundance	MID090.A0101.unmapped_Abundance	MID091.A0101.unmapped_Abundance	MID092.A0101.unmapped_Abundance	MID093.A0101.unmapped_Abundance	MID094.A0101.unmapped_Abundance	MID097.A0101.unmapped_Abundance	MID101.A0101.unmapped_Abundance	MID102.A0101.unmapped_Abundance
UNINTEGRATED|g__Actinomyces.s__Actinomyces_naeslundii	0	2660.8	0	0	988.201	1389.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169.87	0	0	5196.4	2123.98	1626.99	738.213	0	0	567.745	291.926	0	1008.83	907.581	3130.85	2677.36	813.531	0	652.593	632.749	5876.07	1341.33	1446.98	0	1885.6	1830.89	2320.58	214.579	0	0	0	674.874	920.967	0	459.169	0	1015.45	154.414	3462.5	2571.17	0	399.391	2555.6	689.56	1094.41	0	960.225	0	1674.18	0	1960.59	1186.39	0	0	4827.3	2686.78	1525.61	0	657.166	833.866	1410.06	0	519.185	0	3588.87	0	778.818	8362.49	609.97	0	629.117	2473.08	0	2330.84	3358.39
UNINTEGRATED|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5173.66	0	0	2356.34	0	5237.81	1986.02	0	0	0	0	0	0	3847.93	2762.59	0	0	0	0	0	9460.43	0	2594.76	0	0	2385.24	0	0	0	0	0	0	0	0	0	0	0	0	7096.09	1313.59	0	0	3130.74	0	0	0	0	0	3322.29	0	1664.13	0	0	0	1686.11	0	9618.1	2193.62	0	1483.44	5381.65	0	0	0	10713.2	0	0	6814.57	0	0	1034.88	2420.42	0	2523.32	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_oris	0	2412.63	0	0	603.997	670.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2947.13	0	0	4175.39	3634.26	1199.61	1300.96	0	0	432.547	0	0	405.466	1053.31	7322.02	2912.7	1016.63	0	0	697.13	16676.9	829.19	1866.73	0	2175.11	2282.92	2322.13	312.878	0	0	0	1247.78	729.206	0	574.498	0	380.88	306.073	7353.08	3955.14	0	576.192	2883.86	515.095	951.724	8054.2	769.765	0	711.445	0	2241.44	0	0	0	8576.8	2186.3	1475.37	5785.7	452.427	810.047	1934.8	0	1236.4	0	4964.07	2119.31	970.404	21652.8	609.048	0	940.222	2191.31	0	2762	4277.91
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1198.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_170	0	0	0	0	0	619.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587.43	0	0	0	823.616	0	0	0	0	0	0	0	0	0	0	1268.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4019.25	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483.314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	782.688	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_414	53118.3	31611.7	69580.5	45830.5	40357.3	37026.7	61844.2	147482	0	0	4093.46	11558.4	0	16456.6	0	0	0	0	24008.6	0	26054.5	4341.84	11162	13162.3	40203.3	2440.8	12283.5	13389.4	30194.3	8761.02	15953.8	22851.5	11082.1	22194	6858.83	30658.4	11883.4	20251.8	31798.8	26150.1	18433	8794.94	38413.1	16239.4	22407	39162.1	20612.8	8324.65	14580.5	31949.6	25039.6	7958.49	21853.3	46644.9	96227.2	28853.4	35515.4	49754.5	22198.9	4037.22	30550.4	19325	25244.3	11483	40505.6	39554	20764.6	0	27718.3	22067.8	20689.1	38518.9	43187.7	7366.52	19737.3	37483.6	34773.2	21883.9	16434.1	39435.6	39001.5	19258.7	34357.1	12395.6	41203.9	35874.2	18398.8	38586	18541.3	24745.2	12621.9	43554.7	33540.3	44890.9	14781.6	29096.7
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_897	0	0	0	0	7986.61	0	0	929.777	0	0	0	0	0	0	0	0	0	0	0	0	2185.06	0	1557.59	0	708.296	0	0	0	0	0	0	4951.47	0	3803.26	3517.14	888.455	0	953.23	3969.8	1679.96	4641.68	0	0	0	0	1730.9	0	0	1328.82	0	1448.09	0	2045.35	4729.09	57198.8	7334.86	1039.43	2787.18	0	0	1581.76	0	759.025	0	8447.33	654.621	3944.33	0	2099.05	4259.61	0	1378.99	1937.33	0	5109.84	0	1353	2124.21	0	627.527	5946.87	992.468	4966.54	11884.8	1154.95	4304.65	3061.03	2548.65	0	3889.92	0	5313.13	2318.52	2443.67	2126.67	779.815
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4075.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1978.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	1111.3	0	0	0	2299.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776.086	0	0	583.311	0	0	479.493	0	0	477.826	0	0	1520.04	222.093	457.82	3552.99	1813.54	0	0	8205.33	0	0	0	0	0	0	0	1864.64	0	0	0	0	0	0	1297.03	0	0	0	543.843	0	0	0	13652.4	323.045	0	602.781	10333.5	0	495.685	0	0	0	0	0	1550.59	256.778	0	783.676	0	0	558.07	0	928.142	0	0	0	0	339.115	0	0	0	1904.01	0	3168.04	0
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0	277.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423.816	731.609	0	308.175	0	0	0	0	0	271.021	170.404	134.387	0	346.078	0	0	4727.05	0	0	1311.03	0	0	0	1744.74	0	0	0	0	0	0	1905.75	118.008	0	0	0	308.725	0	0	0	6493.44	393.122	0	1605.84	7935.15	0	203.064	0	3729.94	0	0	0	646.398	0	2795.03	742.138	0	0	512.235	0	200.49	0	557.871	0	0	0	0	0	0	1113.03	0	3547.89	0
UNINTEGRATED|g__Anaerolineaceae_unclassified.s__Anaerolineaceae_bacterium_oral_taxon_439	30655	17548.3	39799.2	48238.8	23425	17563	25262.1	19967.7	0	0	0	0	0	3461.67	0	0	0	0	0	0	39889.5	0	41566.2	48057.2	0	5493.21	12510.2	6600.14	15768.7	20976.4	28557.8	27493.1	26203.6	14342.3	0	11216.8	8715.15	15996.1	20983.8	19401.3	0	4991.2	12801.1	11948.3	36306.4	14330.3	6104.37	3323.8	27311	39613.2	38562.4	45698.7	15695.6	16369.7	15624.1	18755	30255.5	30059.2	40049.6	0	16206	35248.5	41029.4	4574.01	9221.5	16172.9	3939.59	14564.6	32720.2	1524.82	30033.2	10392	33194	29371.1	23046.7	5384.6	8015.02	0	5729.21	18267.4	16275.1	4948.77	41365.8	12440.8	32264.3	5587.66	24681.1	24310.9	494.284	15693.4	14601.7	15044.7	9969.39	30898.8	0	13280.1
UNINTEGRATED|g__Bacteroidetes_unclassified.s__Bacteroidetes_bacterium_oral_taxon_272	5591.32	0	0	0	7169.04	1536.58	1351.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159.35	0	0	3271.97	0	1066.64	2865.85	1522.6	2892.53	4999.77	0	6479.58	0	0	0	1903.19	9578.02	1107.74	0	0	835.088	4296.08	3495.41	822.505	1623.01	843.629	2908.91	0	0	15932.8	472.918	0	2528.05	0	1372.09	460.894	8974.28	0	4553.46	2924.94	0	0	0	0	0	0	7545.15	0	2226.04	1837.04	4883.83	0	12323.1	0	0	0	720.993	0	2501.32	0	7144.72	0	5935.36	1018.28	5719.48	3063.1	0	1260.82	0	4634.62	1576.74	0	0	1377.3
UNINTEGRATED|g__Bacteroidetes_unclassified.s__Bacteroidetes_oral_taxon_274	3810.57	1032.31	926.785	0	10072.6	7005.6	495.352	0	0	0	0	0	0	0	0	0	0	0	0	0	8788.48	1583.13	6390.67	953.595	6358.27	825.322	2256.37	2549.43	2488.15	10439.9	2138.2	2087.36	0	5803.22	3549.13	4687.3	15141.1	5189.59	7391.51	10799.8	3752.45	4333.82	8975.13	3442.84	0	4192.84	2568.47	5119.8	7735.17	1889.5	3396.1	0	4969.29	4660.75	5104.45	2219.41	1151.55	3054.98	1620.28	1697.16	6672.67	0	1563.59	508.149	11814.8	8753.14	5887.57	3082.97	6333.03	5592.93	1926.97	2911.6	3374.72	1180.09	0	5780.4	5375.73	1321.81	3719.79	8740.88	3201.72	2858.94	2622.06	7058.67	5591.19	3329.21	1601.9	6513.09	1980.25	5570.94	0	5991.32	6061.62	3872.97	3062.32	6275.82
UNINTEGRATED|g__Campylobacter.s__Campylobacter_gracilis	0	0	0	0	2392.81	493.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1446.94	0	602.646	0	1087.95	0	0	0	0	0	0	0	0	1267.05	0	1579.71	0	0	385.68	0	0	0	1012.14	0	0	0	0	0	1045.63	0	0	0	1442.09	1991.26	1332.87	449.226	0	1644.83	0	0	1698.26	0	0	0	2810.49	480.842	0	0	315.565	0	997.962	0	0	0	0	1775.88	1213.98	0	0	2003.1	0	1307.52	907.982	2222.8	0	402.096	0	416.384	0	1839.16	0	1984.31	1523.18	0	0	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_rectus	3034.21	3018.78	1736.87	0	4862.35	10348.9	1608.16	0	0	0	0	0	0	0	0	0	0	0	0	0	14426.6	263.432	5315.79	0	1418.69	2206.74	1599.35	1205.87	4809.7	4826.85	2291.21	4295.86	0	2328.55	1524.53	837.351	9965.69	3988.92	10965.8	1582.89	0	1493.16	5927.4	1474.19	0	2416.95	1725.22	3062.35	4533.27	0	2548.93	3393.49	9499.32	1298.43	0	5859.58	778.374	3788.33	1437.44	557.636	4360.75	0	3400.73	1004.57	1836.9	16123.2	2776.56	0	5274.94	1451.3	10221.2	2069.86	1971.65	0	2423.18	1718.88	1295.36	1752.96	1347.46	980.644	3157.24	1496.33	4449.41	2685	7277.09	1798.75	604.537	4868.97	398.381	1542.83	1223.51	1825.66	2429.71	7941.15	3847.28	2148.77
UNINTEGRATED|g__Campylobacter.s__Campylobacter_showae	256.569	1119.58	295.982	0	3692.36	2473.05	112.737	0	0	0	0	0	0	0	0	0	0	0	0	0	2969.72	341.805	504.046	0	2242.9	1289.39	721.631	2409.34	403.091	5054.13	1097.31	1890.61	0	1982.54	2927.52	1701.79	1065.73	2472.82	1439.99	1421.12	6182.25	3046.66	2618.06	2580.71	0	1897.6	4793.03	5628.43	1780.91	0	243.524	248.216	2025.68	1294.71	6438.27	1615.38	108.548	707.902	595.08	1297.86	2326.67	0	540.413	1658.25	2931.64	1282.11	8536.36	11244.2	1035.96	4043.05	1449.76	4313.79	2085.38	0	389.24	3240.26	2984.8	6385.3	2965.23	1903.27	1698.12	2916.71	501.221	2622.51	897.44	5232.71	354.105	2313.2	867.706	2941.75	266.881	693.173	3313.38	688.728	12337	1657.59
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_gingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2157.44	0	0	618.762	6089.14	890.695	3864.93	0	0	0	0	0	716.405	8419.87	918.054	4898.42	2786.35	0	809.86	6388.41	3764.23	0	0	0	1303.34	4394.77	2399.44	0	0	0	0	0	0	340.969	1063.43	0	0	0	2816.33	530.785	0	0	9457.84	134.454	0	2184.74	0	2665.82	745.253	0	383.277	0	0	0	649.386	1528.53	7119.64	4636.69	0	0	9463.9	0	2195.62	0	11852.3	0	0	0	0	0	0	2562.25	0	3964.51	740.241
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_granulosa	0	0	0	0	0	330.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575.233	4220.97	1687.1	320.744	0	0	0	0	0	2452.47	862.701	0	258.168	1594.96	0	317.924	705.022	490.761	0	0	0	1625.21	4501.33	1544.29	0	0	0	0	0	1383.69	205.022	699.735	0	0	0	0	0	0	0	1861.64	817.525	0	1323.69	0	663.09	374.465	0	0	0	0	0	0	1275.09	2701.03	1409.01	0	0	1451.53	0	811.627	0	971.28	0	0	0	0	0	0	196.698	0	490.086	1575.5
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	643.312	0	0	0	147.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.5441	357.346	0	0	644.858	1981.69	428.329	278.923	0	0	0	0	0	771.057	3712.72	198.769	214.997	437.03	0	827.134	431.761	473.773	152.406	150.269	0	647.48	4052.8	1739.87	249.102	0	0	0	0	113.57	227.054	310.183	0	0	0	914.243	0	0	0	4935.36	243.967	0	255.332	0	195.261	1082.78	0	183.787	0	0	0	328.932	345.212	2775.48	3386.52	0	74.859	1925.81	0	1220.64	0	3454.72	0	207.792	388.697	153.375	0	0	1139.9	0	5280.76	483.292
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_ochracea	0	0	0	0	947.477	232.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	713.753	0	0	2715.42	0	722.95	550.106	0	0	0	0	0	1337.28	1334.85	1223.11	972.669	818.786	190.793	1435.42	601.474	628.806	1781.39	407.441	0	238.733	605.777	1086.15	629.952	0	0	0	231.521	622.954	1320.42	512.032	0	0	0	287.79	443.089	0	0	0	1609.09	0	2520.36	0	447.096	1148.59	0	226.831	0	0	0	870.237	1210.71	813.333	1145.6	0	106.39	955.13	0	1114.35	0	779.527	0	732.786	0	669.599	0	0	1678.85	0	683.815	1324.6
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.487	0	278.473	357.392	0	0	0	0	0	329.527	356.637	108.256	0	331.725	0	94.1266	333.54	294.009	0	0	0	0	560.574	232.114	0	0	0	0	0	0	253.939	191.673	0	0	0	194.856	0	0	0	420.105	101.118	0	0	0	0	173.264	0	109.195	0	0	0	62.8296	251.87	2858.7	303.369	0	0	243.19	0	221.488	0	239.643	0	0	0	0	0	0	162.775	0	539.897	496.463
