#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	VLC010.A0101.sub75bp.metaphlan3	VLC009.A0101.sub75bp.metaphlan3	VLC008.A0101.sub75bp.metaphlan3	VLC005.A0101.sub75bp.metaphlan3	VLC004.A0101.sub75bp.metaphlan3	VLC003.A0101.sub75bp.metaphlan3	VLC002.A0101.sub75bp.metaphlan3	VLC001.A0101.sub75bp.metaphlan3	MID102.A0101.sub75bp.metaphlan3	MID101.A0101.sub75bp.metaphlan3	MID097.A0101.sub75bp.metaphlan3	MID094.A0101.sub75bp.metaphlan3	MID093.A0101.sub75bp.metaphlan3	MID092.A0101.sub75bp.metaphlan3	MID091.A0101.sub75bp.metaphlan3	MID090.A0101.sub75bp.metaphlan3	MID089.A0101.sub75bp.metaphlan3	MID088.A0101.sub75bp.metaphlan3	MID087.A0101.sub75bp.metaphlan3	MID086.A0101.sub75bp.metaphlan3	MID085.A0101.sub75bp.metaphlan3	MID084.A0101.sub75bp.metaphlan3	MID083.A0101.sub75bp.metaphlan3	MID082.A0101.sub75bp.metaphlan3	MID081.A0101.sub75bp.metaphlan3	MID080.A0101.sub75bp.metaphlan3	MID079.A0101.sub75bp.metaphlan3	MID078.A0101.sub75bp.metaphlan3	MID077.A0101.sub75bp.metaphlan3	MID076.A0101.sub75bp.metaphlan3	MID075.A0101.sub75bp.metaphlan3	MID074.A0101.sub75bp.metaphlan3	MID073.A0101.sub75bp.metaphlan3	MID072.A0101.sub75bp.metaphlan3	MID071.A0101.sub75bp.metaphlan3	MID070.A0101.sub75bp.metaphlan3	MID068.B0101.sub75bp.metaphlan3	MID068.A0101.sub75bp.metaphlan3	MID067.A0101.sub75bp.metaphlan3	MID066.A0101.sub75bp.metaphlan3	MID065.A0101.sub75bp.metaphlan3	MID064.A0101.sub75bp.metaphlan3	MID063.A0101.sub75bp.metaphlan3	MID062.A0101.sub75bp.metaphlan3	MID061.A0101.sub75bp.metaphlan3	MID060.A0101.sub75bp.metaphlan3	MID059.A0101.sub75bp.metaphlan3	MID058.A0101.sub75bp.metaphlan3	MID057.A0101.sub75bp.metaphlan3	MID056.A0101.sub75bp.metaphlan3	MID055.A0101.sub75bp.metaphlan3	MID054.A0101.sub75bp.metaphlan3	MID053.A0101.sub75bp.metaphlan3	MID052.A0101.sub75bp.metaphlan3	MID051.A0101.sub75bp.metaphlan3	MID050.A0101.sub75bp.metaphlan3	MID049.A0101.sub75bp.metaphlan3	MID048.A0101.sub75bp.metaphlan3	MID047.A0101.sub75bp.metaphlan3	MID046.A0101.sub75bp.metaphlan3	MID045.A0101.sub75bp.metaphlan3	MID044.A0101.sub75bp.metaphlan3	MID043.A0101.sub75bp.metaphlan3	MID042.A0101.sub75bp.metaphlan3	MID041.A0101.sub75bp.metaphlan3	MID040.A0101.sub75bp.metaphlan3	MID039.A0101.sub75bp.metaphlan3	MID038.A0101.sub75bp.metaphlan3	MID037.A0101.sub75bp.metaphlan3	MID036.A0101.sub75bp.metaphlan3	MID035.A0101.sub75bp.metaphlan3	MID034.A0101.sub75bp.metaphlan3	MID033.A0101.sub75bp.metaphlan3	MID032.A0101.sub75bp.metaphlan3	MID031.A0101.sub75bp.metaphlan3	MID030.A0101.sub75bp.metaphlan3	MID029.A0101.sub75bp.metaphlan3	MID028.A0101.sub75bp.metaphlan3	MID027.A0101.sub75bp.metaphlan3	MID026.A0101.sub75bp.metaphlan3	MID025.A0101.sub75bp.metaphlan3	MID024.A0101.sub75bp.metaphlan3	MID023.A0101.sub75bp.metaphlan3	MID022.A0101.sub75bp.metaphlan3	KT36calc.sub75bp.metaphlan3	KT35calc.sub75bp.metaphlan3	KT34calc.sub75bp.metaphlan3	KT33calc.sub75bp.metaphlan3	KT32calc.sub75bp.metaphlan3	KT31calc.sub75bp.metaphlan3	KT30calc.sub75bp.metaphlan3	KT29calc.sub75bp.metaphlan3	KT28calc.sub75bp.metaphlan3	KT27calc.sub75bp.metaphlan3	KT26calc.sub75bp.metaphlan3	KT25calc.sub75bp.metaphlan3	KT24calc.sub75bp.metaphlan3	KT23calc.sub75bp.metaphlan3	KT22calc.sub75bp.metaphlan3	KT21calc.sub75bp.metaphlan3	KT20calc.sub75bp.metaphlan3	KT19calc.sub75bp.metaphlan3	KT18calc.sub75bp.metaphlan3	KT17calc.sub75bp.metaphlan3	KT16calc.sub75bp.metaphlan3	KT15calc.sub75bp.metaphlan3	KT14calc.sub75bp.metaphlan3	KT13calc.sub75bp.metaphlan3	KT12calc.sub75bp.metaphlan3	KT11calc.sub75bp.metaphlan3	KT10calc.sub75bp.metaphlan3	KT09calc.sub75bp.metaphlan3	KT08calc.sub75bp.metaphlan3	KT07calc.sub75bp.metaphlan3	KT06calc.sub75bp.metaphlan3	KT05calc.sub75bp.metaphlan3	KT04calc.sub75bp.metaphlan3	KT03calc.sub75bp.metaphlan3	KT02calc.sub75bp.metaphlan3	KT01calc.sub75bp.metaphlan3	JAE016.A0101.sub75bp.metaphlan3	JAE015.A0101.sub75bp.metaphlan3	JAE014.A0101.sub75bp.metaphlan3	JAE013.A0101.sub75bp.metaphlan3	JAE012.A0101.sub75bp.metaphlan3	JAE010.A0101.sub75bp.metaphlan3	JAE009.A0101.sub75bp.metaphlan3	JAE008.A0101.sub75bp.metaphlan3	JAE007.A0101.sub75bp.metaphlan3	JAE006.A0101.sub75bp.metaphlan3	IVE007.B0101.sub75bp.metaphlan3	IVE005.B0101.sub75bp.metaphlan3	IVE005.A0101.sub75bp.metaphlan3	IVE003.A0101.sub75bp.metaphlan3	IVE002.B0101.sub75bp.metaphlan3	ELR010.A0101.sub75bp.metaphlan3	ELR008.A0101.sub75bp.metaphlan3	ELR006.A0101.sub75bp.metaphlan3	ELR004.A0101.sub75bp.metaphlan3	ELR003.A0101.sub75bp.metaphlan3	CS48.sub75bp.metaphlan3	CS47.sub75bp.metaphlan3	CS46.sub75bp.metaphlan3	CS45.sub75bp.metaphlan3	CS44.sub75bp.metaphlan3	CS43.sub75bp.metaphlan3	CS42.sub75bp.metaphlan3	CS40.sub75bp.metaphlan3	CS39.sub75bp.metaphlan3	CS38.sub75bp.metaphlan3	CS37.sub75bp.metaphlan3	CS36.sub75bp.metaphlan3	CS35.sub75bp.metaphlan3	CS34.sub75bp.metaphlan3	CS33.sub75bp.metaphlan3	CS32.sub75bp.metaphlan3	CS31.sub75bp.metaphlan3	CS30.sub75bp.metaphlan3	CS29.sub75bp.metaphlan3	CS28.sub75bp.metaphlan3	CS27.sub75bp.metaphlan3	CS26.sub75bp.metaphlan3	CS24.sub75bp.metaphlan3	CS23.sub75bp.metaphlan3	CS22.sub75bp.metaphlan3	CS21.sub75bp.metaphlan3	CS20.sub75bp.metaphlan3	CS19.sub75bp.metaphlan3	CS18.sub75bp.metaphlan3	CS17.sub75bp.metaphlan3	CS16.sub75bp.metaphlan3	CS15.sub75bp.metaphlan3	CS14.sub75bp.metaphlan3	CS13.sub75bp.metaphlan3	CS12.sub75bp.metaphlan3	CS11.sub75bp.metaphlan3	CS10.sub75bp.metaphlan3	CS09.sub75bp.metaphlan3	CS08.sub75bp.metaphlan3	CS07.sub75bp.metaphlan3	CS04.sub75bp.metaphlan3	CS03.sub75bp.metaphlan3	CS02.sub75bp.metaphlan3	CS01.sub75bp.metaphlan3	CMB008.A0101.sub75bp.metaphlan3	CMB007.A0101.sub75bp.metaphlan3	CMB006.A0101.sub75bp.metaphlan3	CMB005.A0101.sub75bp.metaphlan3	CMB004.A0101.sub75bp.metaphlan3	CMB003.A0101.sub75bp.metaphlan3	CMB002.A0101.sub75bp.metaphlan3	CMB001.A0101.sub75bp.metaphlan3
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_oral_taxon_274	2|976|||||652708	0	2.41598	1.7847	0.9298	2.16572	1.02736	0.93576	0.91286	2.76224	1.303	1.36051	2.54862	2.38478	0.06162	2.18487	1.27289	3.23774	0.35747	1.35075	2.10601	3.46022	0.6019	1.2517	2.4333	4.42056	1.8626	0.02099	2.53276	3.2343	0	0.61746	1.16764	0.77018	0.58504	2.9361	1.76865	0.93141	5.20092	3.47606	8.1092	0.15105	0.20339	0	4.28875	0.32941	0.52196	0.86472	0.2963	0.88014	2.71086	1.79778	2.37449	0	1.37305	0.17373	2.93387	3.0044	0.84722	1.30863	0	0.63907	4.2956	2.50715	1.50591	5.53295	3.44317	2.1259	6.6947	2.89494	1.55165	3.62563	0	0.79806	0.47067	4.54335	1.60918	0.9143	0.6802	0.14707	3.71522	0.50226	2.68516	0.75263	2.59782	2.06795	4.47766	12.58211	4.12003	5.8144	1.50844	8.3236	11.35337	0	13.17606	7.71271	4.8502	5.95213	1.12272	7.68184	9.06892	8.48453	2.59032	5.04933	4.9316	6.5863	4.95122	14.01154	4.27551	9.78798	4.47507	2.27704	0	0.21368	9.22475	1.63047	16.62226	1.31353	16.08853	3.37156	2.36758	7.05793	0.08343	1.38484	0.09388	0.31093	0.39602	1.28852	3.92844	0.0694	0.02521	3.98218	0.95247	0.68259	6.93764	1.16037	0	0.01201	1.02264	0.73536	0.54917	0	2.95569	11.11297	0	2.62349	0.09383	0.32739	0.50117	1.72774	0.67931	0.27782	0.16077	0.07658	0.54983	4.03044	0.90337	1.47839	16.12684	0.05702	0	0	1.63312	1.92552	4.60507	0.66204	1.34927	0.28569	2.06851	0	0.31497	1.47202	2.25641	1.34164	2.23444	5.34109	1.47879	0.73235	5.1477	9.3898	2.67946	3.52455	0	0.11903	4.16908	0	0.08574	2.2946	4.19951	0	0.03337	0.26837	0.88351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0	2.90704	4.94573	5.28891	4.34517	1.18172	1.46166	13.55867	1.83264	1.9718	7.91671	4.42429	1.86684	2.26753	1.91316	0.71403	2.73856	2.45138	2.09668	3.97381	2.00385	4.70718	1.22303	3.69501	1.48803	3.27836	3.95737	3.98425	2.23017	8.01779	2.41452	6.38132	3.40277	11.2106	4.6889	12.21406	0.60939	4.90343	9.39584	1.91807	0.64282	1.44097	2.78211	8.97339	0.48083	2.7603	0.92674	1.73842	2.28197	3.03386	2.18844	4.44442	3.26817	2.11545	5.24844	3.23123	4.05644	0	3.13963	1.97496	2.22496	5.28024	0.61459	2.60363	3.16845	8.10735	4.75872	2.50359	2.31791	1.07666	6.74911	1.10323	5.92149	2.00166	5.72451	4.06793	1.73964	1.99276	1.79332	4.29171	2.15287	3.66197	0.12762	4.34803	5.37306	1.30079	3.6373	1.86596	1.5378	2.31941	1.1112	4.49931	1.8673	2.52481	5.79507	1.16685	3.31484	0.68755	0.87791	2.18146	1.9876	1.39286	2.16028	1.94889	0.9213	3.84594	2.20099	0.86022	0.97084	0.88893	1.0125	1.54234	0.35568	2.50279	1.43106	2.11198	1.37538	3.80273	0.58224	3.74516	13.17938	8.3843	3.69929	0.63208	0.80646	1.59778	4.82977	3.96717	0.57617	0.21876	2.4868	0.10459	0	0.11018	1.27071	0	5.58317	2.39012	1.20211	0.74803	12.20079	5.51766	8.28895	0	3.48005	1.79368	0.54734	25.36824	3.0836	10.81472	3.80485	20.02991	11.31101	1.20171	12.69584	24.63065	6.77596	4.97925	0	6.04488	31.31013	5.59203	1.05259	2.0599	2.40289	3.52361	0.36513	2.57304	0	15.05514	1.50879	19.81493	5.32839	2.20666	2.5546	12.70423	3.27547	4.90354	3.25943	3.62903	10.14806	0	5.6095	2.20172	0	6.87026	7.65374	8.88101	4.00308	6.02806	8.55663	12.72743
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0	2.90704	4.94573	5.28891	4.34517	1.18172	1.46166	13.55867	1.83264	1.9718	7.91671	4.42429	1.86684	2.26753	1.91316	0.71403	2.73856	2.45138	2.09668	3.97381	2.00385	4.70718	1.22303	3.69501	1.48803	3.27836	3.95737	3.98425	2.23017	8.01779	2.41452	6.38132	3.40277	11.2106	4.6889	12.21406	0.60939	4.90343	9.39584	1.91807	0.64282	1.44097	2.78211	8.97339	0.48083	2.7603	0.92674	1.73842	2.28197	3.03386	2.18844	4.44442	3.26817	2.11545	5.24844	3.23123	4.05644	0	3.13963	1.97496	2.22496	5.28024	0.61459	2.60363	3.16845	8.10735	4.75872	2.50359	2.31791	1.07666	6.74911	1.10323	5.92149	2.00166	5.72451	4.06793	1.73964	1.99276	1.79332	4.29171	2.15287	3.66197	0.12762	4.34803	5.37306	1.30079	3.6373	1.86596	1.5378	2.31941	1.1112	4.49931	1.8673	2.52481	5.79507	1.16685	3.31484	0.68755	0.87791	2.18146	1.9876	1.39286	2.16028	1.94889	0.9213	3.84594	2.20099	0.86022	0.97084	0.88893	1.0125	1.54234	0.35568	2.50279	1.43106	2.11198	1.37538	3.80273	0.58224	3.74516	13.17938	8.3843	3.69929	0.63208	0.80646	1.59778	4.82977	3.96717	0.57617	0.21876	2.4868	0.10459	0	0.11018	1.27071	0	5.58317	2.39012	1.20211	0.74803	12.20079	5.51766	8.28895	0	3.48005	1.79368	0.54734	25.36824	3.0836	10.81472	3.80485	20.02991	11.31101	1.20171	12.69584	24.63065	6.77596	4.97925	0	6.04488	31.31013	5.59203	1.05259	2.0599	2.40289	3.52361	0.36513	2.57304	0	15.05514	1.50879	19.81493	5.32839	2.20666	2.5546	12.70423	3.27547	4.90354	3.25943	3.62903	10.14806	0	5.6095	2.20172	0	6.87026	7.65374	8.88101	4.00308	6.02806	8.55663	12.72743
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0	0	0	0	0	0	0	0.05094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18031	0	0.0599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0	0	0	0	0	0	0	0.05094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18031	0	0.0599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_heparinolyticus	2|976|200643|171549|815|816|28113	0	0	0	0	0	0	0	0.05094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18031	0	0.0599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	0	1.10789	1.34897	0.47512	0.329	1.00736	0.16363	5.92584	0.06766	0.13568	1.32482	0.45018	0.06287	0	0	0	0.39726	0	0.14701	0	0.53034	1.17409	0	0.21964	0	0.09771	2.12647	0	0	0	0	0.44466	0.51331	0.52049	2.64727	0.46443	0	0	0	0	0.07165	0	0.09094	1.46743	0	0	0.19912	0.03274	0.53364	0.81143	0	0.68726	0.10517	0.11597	0.14839	0.2579	0.59893	0	0	0.1762	0	0.67079	0	0	0.08275	0.67825	0.10506	0.1684	0.15328	0.09749	0.0221	0.05078	2.63101	0.10057	0.30406	0.11717	0.03618	0	0.2564	0.04974	0.7277	0.2573	0	0.15056	1.16612	0.04573	0	0.0587	0.55149	0.89505	0	0	0	0	0	0.13762	0.16656	0	0	0	0.47539	0.28605	0.02135	0	0	2.25723	0	0	0	0	0	1.05844	0	0.41493	0.43599	0	0.33338	0.23302	0	0.24395	2.80185	1.16305	1.1907	0.26471	0.18241	0.77627	2.65222	0.91677	0.35524	0.09512	0.08442	0.03638	0	0	0	0	3.93017	0.25611	0	0	0	2.52643	0	0	0	0.24872	0	1.2978	0	1.7026	0	1.74722	0.80777	0.12041	0.68354	13.9645	0.3474	0	0	0	0	0.67098	0	0.66505	0.77684	0.04641	0.17188	0.21261	0	12.46766	0.20886	0.45953	0	0.0373	0	1.78507	0.16313	0	0	0	1.74639	0	0.50312	0	0	0.38066	0.26474	0.35494	0.14782	0.67622	0	0.79837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	2|976|200643|171549|171551|836	0	1.10789	1.34897	0.47512	0.329	1.00736	0.16363	5.92584	0.06766	0.13568	1.32482	0.45018	0.06287	0	0	0	0.39726	0	0.14701	0	0.53034	1.17409	0	0.21964	0	0.09771	2.12647	0	0	0	0	0.44466	0.51331	0.52049	2.64727	0.46443	0	0	0	0	0.07165	0	0.09094	1.46743	0	0	0.19912	0.03274	0.53364	0.81143	0	0.68726	0.10517	0.11597	0.14839	0.2579	0.59893	0	0	0.1762	0	0.67079	0	0	0.08275	0.67825	0.10506	0.1684	0.15328	0.09749	0.0221	0.05078	2.63101	0.10057	0.30406	0.11717	0.03618	0	0.2564	0.04974	0.7277	0.2573	0	0.15056	1.16612	0.04573	0	0.0587	0.55149	0.89505	0	0	0	0	0	0.13762	0.16656	0	0	0	0.47539	0.28605	0.02135	0	0	2.25723	0	0	0	0	0	1.05844	0	0.41493	0.43599	0	0.33338	0.23302	0	0.24395	2.80185	1.16305	1.1907	0.26471	0.18241	0.77627	2.65222	0.91677	0.35524	0.09512	0.08442	0.03638	0	0	0	0	3.93017	0.25611	0	0	0	2.52643	0	0	0	0.24872	0	1.2978	0	1.7026	0	1.74722	0.80777	0.12041	0.68354	13.9645	0.3474	0	0	0	0	0.67098	0	0.66505	0.77684	0.04641	0.17188	0.21261	0	12.46766	0.20886	0.45953	0	0.0373	0	1.78507	0.16313	0	0	0	1.74639	0	0.50312	0	0	0.38066	0.26474	0.35494	0.14782	0.67622	0	0.79837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_canoris	2|976|200643|171549|171551|836|36875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae	2|976|200643|171549|171551|836|41976	0	0.90384	0.02168	0.18107	0.2412	0.89811	0.16363	0.08774	0	0	0	0.13728	0	0	0	0	0	0	0.14701	0	0	0	0	0	0	0	1.98177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38214	0	0	0	0	0	0	0	0	0	0.0692	0	0	0.09749	0	0	0	0	0	0	0	0	0	0.04974	0	0	0	0	0	0	0	0	0.52752	0.30584	0	0	0	0	0	0	0	0	0	0	0	0.16253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225	0.38696	0	0.35515	0.19323	0	0.21046	0.29747	0.03716	0.03346	0.08289	0	0	0	0	0	0	0.42229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12041	0	0	0	0	0	0	0	0	0	0.24199	0	0	0	0	0	0	0	0	0	0.0373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	2|976|200643|171549|171551|836|28124	0	0.20405	1.31445	0.10032	0	0	0	0.16524	0	0	0	0	0	0	0	0	0	0	0	0	0.03858	0.05999	0	0.21964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01439	0	0	0	0	0	0.02377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23302	0	0.01647	0.0656	0.10151	0.01594	0	0	0.06145	0.25086	0.68663	0.30732	0	0	0	0	0	0	0	0	0	0	0	0	0.03836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02593	0	0	0	0.10341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	2|976|200643|171549|171551|836|837	0	0	0.01284	0.19372	0.0878	0	0	5.67286	0.06766	0.13568	1.32482	0.31291	0.06287	0	0	0	0.39726	0	0	0	0.49176	1.1141	0	0	0	0	0	0	0	0	0	0.44466	0.51331	0.52049	2.64727	0.46443	0	0	0	0	0	0	0.09094	1.46743	0	0	0.19912	0.03274	0.53364	0.81143	0	0.68726	0.10517	0.11597	0.14839	0.2579	0.21679	0	0	0.1762	0	0.67079	0	0	0.08275	0.67825	0.03587	0.1684	0.15328	0	0.0221	0.05078	2.63101	0.10057	0.30406	0.11717	0.03618	0	0.2564	0	0.7277	0.2573	0	0.13616	1.16612	0.04573	0	0.0587	0	0.56544	0	0	0	0	0	0.13762	0.16656	0	0	0	0.47539	0.12352	0.02135	0	0	2.25723	0	0	0	0	0	0	0	0.41493	0.43599	0	0.14715	0	0	0.17744	2.3493	1.0489	0.81961	0	0.04626	0.43356	2.10389	0	0.01446	0.01223	0.08442	0	0	0	0	0	3.50789	0.25611	0	0	0	2.48806	0	0	0	0.24872	0	1.2978	0	1.7026	0	1.74722	0.80777	0	0.68354	13.9645	0.3474	0	0	0	0	0.67098	0	0.42306	0.77684	0.04641	0.17188	0.21261	0	12.46766	0.20886	0.43359	0	0	0	1.68166	0	0	0	0	1.74639	0	0.50312	0	0	0.38066	0.26474	0.35494	0.14782	0.67622	0	0.79837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae	2|976|200643|171549|171551|836|322095	0	0	0	0	0	0.10925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09771	0.05287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18623	0	0	0	0	0	0	0.06173	0.11997	0.05708	0	0.11252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278	2|976|200643|171549|171551|836|712437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.01264	0	0.00974	0.01618	0.01372	0	0.08046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
