#Datasets	MeganServer::MID078.A0101.unmapped	MeganServer::MID067.A0101.unmapped	MeganServer::EXB059.A2501.unmapped	MeganServer::MID089.A0101.unmapped	MeganServer::MID101.A0101.unmapped	MeganServer::LIB058.A0103.unmapped	MeganServer::MID077.A0101.unmapped	MeganServer::MID088.A0101.unmapped	MeganServer::MID027.A0101.unmapped	MeganServer::MID066.A0101.unmapped	MeganServer::MID094.A0101.unmapped	MeganServer::MID083.A0101.unmapped	MeganServer::MID072.A0101.unmapped	MeganServer::MID022.A0101.unmapped	MeganServer::CMB004.A0101.unmapped	MeganServer::MID061.A0101.unmapped	MeganServer::MID050.A0101.unmapped	MeganServer::MID044.A0101.unmapped	MeganServer::MID049.A0101.unmapped	MeganServer::MID038.A0101.unmapped	MeganServer::MID055.A0101.unmapped	MeganServer::MID033.A0101.unmapped	MeganServer::MID071.A0101.unmapped	MeganServer::MID093.A0101.unmapped	MeganServer::MID032.A0101.unmapped	MeganServer::CMB002.A0101.unmapped	MeganServer::MID029.A0101.unmapped	MeganServer::MID024.A0101.unmapped	MeganServer::MID102.A0101.unmapped	MeganServer::MID085.A0101.unmapped	MeganServer::MID041.A0101.unmapped	MeganServer::MID046.A0101.unmapped	MeganServer::MID063.A0101.unmapped	MeganServer::MID068.A0101.unmapped	MeganServer::EXB059.A2201.unmapped	MeganServer::MID080.A0101.unmapped	MeganServer::MID084.A0101.unmapped	MeganServer::CMB003.A0101.unmapped	MeganServer::MID062.A0101.unmapped	MeganServer::MID023.A0101.unmapped	MeganServer::MID040.A0101.unmapped	MeganServer::MID045.A0101.unmapped	MeganServer::MID059.A0101.unmapped	MeganServer::LIB058.A0104.unmapped	MeganServer::MID037.A0101.unmapped	MeganServer::MID076.A0101.unmapped	MeganServer::CMB008.A0101.unmapped	MeganServer::EXB034.A2701.unmapped	MeganServer::MID028.A0101.unmapped	MeganServer::MID054.A0101.unmapped	MeganServer::MID068.B0101.unmapped	MeganServer::MID075.A0101.unmapped	MeganServer::MID086.A0101.unmapped	MeganServer::MID097.A0101.unmapped	MeganServer::MID042.A0101.unmapped	MeganServer::MID053.A0101.unmapped	MeganServer::MID064.A0101.unmapped	MeganServer::MID031.A0101.unmapped	MeganServer::MID058.A0101.unmapped	MeganServer::MID047.A0101.unmapped	MeganServer::MID036.A0101.unmapped	MeganServer::CMB001.A0101.unmapped	MeganServer::CMB006.A0101.unmapped	MeganServer::MID025.A0101.unmapped	MeganServer::CMB007.A0101.unmapped	MeganServer::EXB059.A2301.unmapped	MeganServer::MID070.A0101.unmapped	MeganServer::LIB058.A0107.unmapped	MeganServer::MID092.A0101.unmapped	MeganServer::LIB058.A0105.unmapped	MeganServer::MID081.A0101.unmapped	MeganServer::MID079.A0101.unmapped	MeganServer::MID082.A0101.unmapped	MeganServer::MID043.A0101.unmapped	MeganServer::CMB005.A0101.unmapped	MeganServer::EXB059.A2101.unmapped	MeganServer::EXB059.A2401.unmapped	MeganServer::MID074.A0101.unmapped	MeganServer::MID026.A0101.unmapped	MeganServer::MID035.A0101.unmapped	MeganServer::MID030.A0101.unmapped	MeganServer::MID057.A0101.unmapped	MeganServer::LIB058.A0102.unmapped	MeganServer::MID090.A0101.unmapped	MeganServer::MID052.A0101.unmapped	MeganServer::MID073.A0101.unmapped	MeganServer::MID048.A0101.unmapped	MeganServer::MID034.A0101.unmapped	MeganServer::MID051.A0101.unmapped	MeganServer::MID091.A0101.unmapped	MeganServer::MID056.A0101.unmapped	MeganServer::MID065.A0101.unmapped	MeganServer::MID039.A0101.unmapped	MeganServer::MID060.A0101.unmapped	MeganServer::LIB058.A0106.unmapped	MeganServer::MID087.A0101.unmapped
"Phocaeicola abscessus"	10722.0	27492.0	4962.0	53007.0	18302.0	2570.0	12383.0	126101.0	45995.0	13793.0	48377.0	8501.0	41604.0	9074.0	3340.0	2386.0	66905.0	23578.0	25412.0	8951.0	13362.0	60319.0	13239.0	111039.0	54525.0	16594.0	28337.0	27368.0	33654.0	7873.0	29217.0	44202.0	66412.0	14252.0	1213.0	16903.0	143991.0	3223.0	66017.0	16377.0	150104.0	92607.0	22611.0	343.0	12014.0	161707.0	2547.0	635.0	13423.0	24993.0	6165.0	11353.0	50412.0	15258.0	1735.0	273464.0	9923.0	28503.0	35431.0	25283.0	5187.0	64939.0	30899.0	20186.0	21378.0	2580.0	138217.0	0.0	17957.0	82.0	1921.0	2276.0	53176.0	15981.0	94288.0	535.0	780.0	41101.0	8259.0	86055.0	50723.0	19640.0	201.0	2720.0	13514.0	50503.0	35933.0	9196.0	11614.0	32015.0	50522.0	7147.0	36299.0	125190.0	4653.0	26067.0
"Petrimonas mucosa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	809.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas asaccharolytica"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas catoniae"	4375.0	0.0	1130.0	1601.0	3744.0	422.0	2856.0	0.0	0.0	1621.0	12392.0	2049.0	0.0	2767.0	0.0	6449.0	1797.0	3318.0	12506.0	3906.0	1508.0	406.0	9617.0	0.0	858.0	5699.0	1654.0	0.0	1531.0	5277.0	0.0	0.0	0.0	0.0	129.0	2950.0	0.0	0.0	1996.0	583.0	776.0	0.0	0.0	0.0	2322.0	0.0	0.0	0.0	1054.0	0.0	596.0	0.0	538.0	0.0	3661.0	0.0	0.0	969.0	0.0	0.0	10793.0	0.0	2293.0	0.0	0.0	85.0	3301.0	0.0	0.0	0.0	901.0	67438.0	455.0	2369.0	1200.0	0.0	0.0	1296.0	7666.0	3433.0	0.0	1061.0	0.0	1053.0	0.0	1815.0	546.0	0.0	0.0	1619.0	2478.0	2818.0	7310.0	1108.0	254.0	8825.0
"Porphyromonas crevioricanis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas gingivalis"	7316.0	22222.0	2808.0	22912.0	19106.0	1940.0	10129.0	12783.0	17971.0	6692.0	40918.0	7075.0	54053.0	24228.0	15028.0	4031.0	28486.0	41199.0	15652.0	17787.0	12209.0	74488.0	84141.0	23442.0	20871.0	10835.0	8502.0	40558.0	18534.0	43091.0	19014.0	16833.0	16853.0	7522.0	640.0	3549.0	91562.0	33983.0	52110.0	3627.0	34783.0	7129.0	25292.0	921.0	17540.0	13512.0	8265.0	424.0	7322.0	55128.0	4724.0	10495.0	12394.0	86414.0	2315.0	29846.0	17440.0	16633.0	25197.0	8897.0	6049.0	47486.0	24024.0	44078.0	24632.0	1117.0	44850.0	0.0	20881.0	20.0	9360.0	5272.0	11777.0	3839.0	21552.0	173.0	728.0	15142.0	2441.0	10702.0	15017.0	49449.0	87.0	1757.0	19598.0	34315.0	2314.0	21973.0	27757.0	8764.0	35654.0	4867.0	14979.0	9679.0	1374.0	7841.0
"Porphyromonas gulae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.0	0.0	0.0	0.0	0.0	533.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658.0	0.0	0.0	0.0	520.0	0.0	0.0	0.0	0.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	657.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	339.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas loveana"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas macacae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas uenonis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. HMSC065F10"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	415.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. KLE 1280"	4143.0	0.0	0.0	495.0	4850.0	0.0	1249.0	0.0	1203.0	562.0	1177.0	645.0	0.0	0.0	0.0	1032.0	0.0	471.0	3489.0	0.0	0.0	0.0	922.0	0.0	0.0	509.0	1560.0	0.0	881.0	0.0	0.0	0.0	0.0	581.0	98.0	10381.0	0.0	0.0	0.0	1657.0	0.0	0.0	0.0	0.0	2381.0	0.0	0.0	0.0	2397.0	1240.0	721.0	0.0	0.0	0.0	4769.0	0.0	0.0	485.0	0.0	738.0	4545.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	12774.0	836.0	0.0	0.0	0.0	0.0	0.0	3429.0	380.0	0.0	2593.0	0.0	0.0	0.0	6202.0	0.0	0.0	0.0	0.0	0.0	3257.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. oral taxon 278"	4119.0	0.0	255.0	1362.0	6626.0	125.0	6053.0	569.0	2569.0	1959.0	4873.0	1581.0	0.0	619.0	0.0	2287.0	895.0	2178.0	2656.0	680.0	0.0	659.0	6362.0	0.0	772.0	1345.0	1560.0	0.0	1906.0	1696.0	636.0	0.0	0.0	2964.0	86.0	1895.0	0.0	0.0	1519.0	0.0	0.0	3066.0	0.0	0.0	1975.0	719.0	0.0	0.0	378.0	1221.0	1170.0	0.0	225.0	0.0	9254.0	0.0	0.0	1572.0	0.0	666.0	3571.0	0.0	1322.0	0.0	0.0	117.0	599.0	0.0	0.0	0.0	601.0	11710.0	2100.0	0.0	508.0	0.0	63.0	1238.0	2308.0	2220.0	0.0	2526.0	0.0	932.0	0.0	10294.0	1751.0	0.0	0.0	940.0	2443.0	22474.0	1463.0	2648.0	0.0	3308.0
"Alloprevotella tannerae"	0.0	0.0	130.0	0.0	0.0	0.0	1368.0	0.0	0.0	0.0	802.0	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	708.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456.0	419.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	930.0	0.0	0.0	0.0	0.0	619.0	0.0	0.0	0.0	0.0	867.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	832.0	0.0	0.0	4426.0	0.0	0.0	1036.0	0.0	662.0	575.0
